home_team,away_team,fair_spread_home,p_home_win,fair_total,market_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Central Michigan,Bowling Green,4.727177272240321,0.1623444805542628,46.909157,-15.5,20.227177272240322,0.0,450.0,0.18181818181818182,-0.019473701263919035,0.0,48.5,-1.5908432006835938,0.007954216003417969
Ball State,Miami (OH),4.223931563397248,0.19829060261448225,54.740047,-13.0,17.223931563397247,0.0,360.0,0.21739130434782608,-0.019100701733343828,0.0,48.0,6.740047454833984,0.01
Western Michigan,Northern Illinois,-0.2922674814860031,0.5208762486775717,55.302773,-2.0,1.7077325185139969,0.008538662592569985,110.0,0.47619047619047616,0.04468577248709549,0.01,52.0,3.3027725219726562,0.01
Kent State,Ohio,6.216366601487001,0.055973814179499946,56.931427,-20.5,26.716366601487003,0.0,750.0,0.11764705882352941,-0.061673244644029464,0.0,53.0,3.931427001953125,0.01
Coastal Carolina,App State,-3.260205626487732,0.7328718304634094,56.89805,-2.5,-0.7602056264877319,0.0038010281324386596,105.0,0.4878048780487805,0.24506695241462895,0.01,62.5,-5.601951599121094,0.01
East Carolina,Florida Atlantic,-5.957400480906169,0.9255286057790121,55.649426,7.5,-13.45740048090617,0.0,-298.0,0.7487437185929648,0.17678488718604723,0.01,58.5,-2.850574493408203,0.01
Princeton,Dartmouth,-0.2922674814860031,0.5208762486775717,53.03434,-9.5,9.207732518513996,0.0,,,,0.0,48.5,4.534339904785156,0.01
Wake Forest,California,4.258174618085225,0.19584467013676962,57.04022,-7.0,11.258174618085224,0.0,225.0,0.3076923076923077,-0.11184763755553809,0.0,55.0,2.0402183532714844,0.01
Memphis,Rice,-3.990553617477417,0.7850395441055298,52.534096,7.0,-10.990553617477417,0.0,-290.0,0.7435897435897436,0.04144980051578617,0.01,50.5,2.0340957641601562,0.01
UCLA,Iowa,4.220997323592504,0.19850019117196402,36.001728,-6.5,10.720997323592503,0.0,200.0,0.3333333333333333,-0.1348331421613693,0.0,45.0,-8.998271942138672,0.01
San Diego State,New Mexico,-1.7031389474868774,0.6216527819633484,51.361786,1.5,-3.2031389474868774,0.01,-120.0,0.5454545454545454,0.07619823650880297,0.01,65.0,-13.638214111328125,0.0
Mercyhurst,Lincoln (CA),-0.7886278629302979,0.5563305616378784,53.130325,,,0.0,,,,0.0,,,0.0
Dayton,San Diego,-0.7886278629302979,0.5563305616378784,53.130325,-3.5,2.711372137069702,0.01,,,,0.0,41.5,11.630325317382812,0.0
