home_team,away_team,fair_spread_home,p_home_win,fair_total
Kent State,Akron,1.769998719294866,0.3735715200503667,51.027557
Central Michigan,Western Michigan,3.925262153148651,0.2196241319179535,58.38779
Miami (OH),Northern Illinois,-3.5285089413324995,0.7520363529523214,56.939114
Toledo,Ohio,-0.45151956876118926,0.5322513977686564,55.35887
Eastern Michigan,Buffalo,0.057457645734151463,0.4958958824475606,55.345085
Nicholls,SE Louisiana,-2.6259056727091474,0.6875646909077963,46.298706
Georgia Tech,NC State,-1.5654024283091232,0.6118144591649374,35.65551
UTSA,Temple,-6.194230834643046,0.9424450596173605,55.51495
Michigan State,Purdue,-5.038057287534078,0.8598612348238627,53.801556
San José State,UNLV,1.8113947908083596,0.3706146577994029,56.022633
Kings College (PA),Ursinus,-0.7886278629302979,0.5563305616378784,53.130325
Central Connecticut,Duquesne,-0.901922345161438,0.5644230246543884,53.094242
Berry College,Maryville College (TN),-0.8384593327840164,0.5598899523417155,52.998257
Columbia,Cornell,-0.7886278629302979,0.5563305616378784,53.130325
Lehigh,Lafayette,-0.7886278629302979,0.5563305616378784,53.130325
Wagner,Long Island University,-0.901922345161438,0.5644230246543884,53.094242
Robert Morris,Stonehill,-0.7886278629302979,0.5563305616378784,53.130325
Richmond,William & Mary,-0.7886278629302979,0.5563305616378784,53.130325
Syracuse,UConn,-3.707308928171794,0.7648077805836996,65.484314
Miles College,Carson-Newman College,-0.7886278629302979,0.5563305616378784,53.130325
John Carroll University,Mount St. Joseph,-0.2922674814860031,0.5208762486775717,53.03434
Florida,Ole Miss,6.112430644532045,0.06339781110485394,48.37859
Virginia,SMU,6.220122945805391,0.055705503871043525,56.834694
Rutgers,Illinois,-2.8294561703999834,0.7021040121714274,63.008583
VMI,East Tennessee State,-0.8384593327840164,0.5598899523417155,52.998257
Endicott College,Alfred State,-2.2682294845581055,0.6620163917541504,50.244686
Jacksonville State,Sam Houston,-1.035721858342488,0.5739801327387491,56.071182
Miami,Wake Forest,-6.49399737517039,0.9638569553693136,51.287872
Boston College,North Carolina,-2.168735384941101,0.6549096703529358,62.37828
Maryland,Iowa,4.3870974481105804,0.18663589656352997,56.984077
Ohio State,Indiana,-5.222967505455017,0.8730691075325012,55.98444
Harvard,Yale,-0.8384593327840164,0.5598899523417155,52.998257
Dartmouth,Brown,-0.8384593327840164,0.5598899523417155,52.998257
Georgetown,Holy Cross,-0.8384593327840164,0.5598899523417155,52.998257
Georgia,Massachusetts,-7.0,1.0,50.98324
Tennessee Tech,Eastern Illinois,-0.8384593327840164,0.5598899523417155,52.998257
UAlbany,Hampton,-0.901922345161438,0.5644230246543884,53.094242
Maine,New Hampshire,-0.8384593327840164,0.5598899523417155,52.998257
Southern Illinois,Murray State,-0.2922674814860031,0.5208762486775717,53.03434
Stetson,Drake,-0.8384593327840164,0.5598899523417155,52.998257
Fordham,Merrimack,-0.901922345161438,0.5644230246543884,53.094242
Presbyterian,Butler,-0.901922345161438,0.5644230246543884,53.094242
Illinois State,North Dakota,-0.901922345161438,0.5644230246543884,53.094242
Tennessee,UTEP,-6.8461538553237915,0.9890109896659851,50.373886
Morehead State,San Diego,-0.7886278629302979,0.5563305616378784,53.130325
Delaware State,North Carolina Central,-0.901922345161438,0.5644230246543884,53.094242
Princeton,Pennsylvania,-0.901922345161438,0.5644230246543884,53.094242
Bryant,Rhode Island,-0.901922345161438,0.5644230246543884,53.094242
Mercyhurst,St. Francis (PA),-0.9829772710800171,0.5702126622200012,52.571262
Morgan State,Howard,-0.8384593327840164,0.5598899523417155,52.998257
Bucknell,Colgate,-0.901922345161438,0.5644230246543884,53.094242
Coe College,Bethel (MN),-1.3467202981313064,0.596194307009379,52.78669
Slippery Rock,New Haven,-0.901922345161438,0.5644230246543884,53.094242
University Of Charleston (WV),Ashland,-0.901922345161438,0.5644230246543884,53.094242
PennWest California,East Stroudsburg University,-0.901922345161438,0.5644230246543884,53.094242
Trinity University TX,Mary Hardin-Baylor,-0.2922674814860031,0.5208762486775717,53.03434
Wingate,Virginia Union,-0.2922674814860031,0.5208762486775717,53.03434
North Carolina A&T,Elon,-0.7886278629302979,0.5563305616378784,53.130325
Liberty,Western Kentucky,-2.920181155204773,0.7085843682289124,59.433296
Mississippi Valley State,Alabama A&M,-0.8384593327840164,0.5598899523417155,51.33206
Villanova,Delaware,-0.901922345161438,0.5644230246543884,53.094242
Grand Valley State University,Indianapolis,-0.8384593327840164,0.5598899523417155,52.998257
Augustana University (SD),Minnesota State Mankato,-0.8384593327840164,0.5598899523417155,52.998257
Stony Brook,Monmouth,-0.901922345161438,0.5644230246543884,53.094242
Wisconsin-Lacrosse,Northwestern (MN),-0.8384593327840164,0.5598899523417155,52.998257
South Carolina State,Norfolk State,-5.957400480906169,0.9255286057790121,57.335224
Florida State,Charleston Southern,-5.672144174575806,0.9051531553268433,50.52774
Western Illinois,Gardner-Webb,-0.901922345161438,0.5644230246543884,53.094242
Austin Peay,Chattanooga,-0.901922345161438,0.5644230246543884,53.094242
South Dakota,North Dakota State,-2.899320363998413,0.7070943117141724,54.9832
West Alabama,Lenoir-Rhyne,-0.901922345161438,0.5644230246543884,53.094242
Northern Iowa,Indiana State,-0.901922345161438,0.5644230246543884,53.094242
Campbell,Towson,-0.901922345161438,0.5644230246543884,53.094242
East Texas A&M,Incarnate Word,-0.7886278629302979,0.5563305616378784,53.130325
St. Thomas (MN),Dayton,-0.901922345161438,0.5644230246543884,53.094242
Valparaiso,Davidson,-0.8384593327840164,0.5598899523417155,54.79242
Central Oklahoma,Ouachita Baptist,-0.901922345161438,0.5644230246543884,53.094242
UAB,Rice,-1.5055148204167679,0.607536772886912,56.979244
Pittsburg St,Harding University,-0.2922674814860031,0.5208762486775717,53.03434
Montana State,Montana,-5.876940806706746,0.919781486193339,58.152428
Eastern Kentucky,North Alabama,-0.8384593327840164,0.5598899523417155,54.436417
Ball State,Bowling Green,3.7207904756069183,0.23422925174236298,51.789623
Angelo State,Bemidji State,-0.8384593327840164,0.5598899523417155,52.998257
App State,James Madison,3.400606940189997,0.25709950427214306,59.104145
Middle Tennessee,New Mexico State,3.4461987713972726,0.2538429449001948,44.077538
Tarleton State,Central Arkansas,-0.2922674814860031,0.5208762486775717,53.03434
Southern Utah,Utah Tech,-0.2922674814860031,0.5208762486775717,53.03434
Alcorn State,Jackson State,4.123515884081523,0.2054631511370341,56.68592
Arkansas State,UL Monroe,-1.857033769289653,0.6326452692349752,53.85411
Alabama State,Prairie View A&M,-0.901922345161438,0.5644230246543884,53.094242
Houston Christian,Northwestern State,-0.901922345161438,0.5644230246543884,53.094242
UT Martin,Lindenwood,-0.8384593327840164,0.5598899523417155,54.79242
Missouri State,South Dakota State,4.456428349018097,0.18168368935585022,60.215637
Arkansas-Pine Bluff,Texas Southern,-0.901922345161438,0.5644230246543884,53.094242
