home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total,home_rest_days,away_rest_days,home_sp_plus,away_sp_plus,temp_C,wind_kph,precip_flag,market_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Akron,Kent State,6.4147383562989,0.4634564717610677,0.4691054622332255,49.657192,7,6,-14.2,-21.9,,,0,7.5,-1.0852616437010996,0.005426308218505498,-290.0,0.7435897435897436,-0.2801332718286759,0.0,49.5,0.15719223022460938,0.0007859611511230469
Western Michigan,Ohio,1.8610690302420623,0.7096516887346903,0.5096021195252737,45.68804,10,7,-6.0,-5.5,,,0,1.5,0.36106903024206227,0.0018053451512103115,-120.0,0.5454545454545454,0.1641971432801449,0.01,47.0,-1.3119583129882812,0.006559791564941407
Miami (OH),Toledo,-6.975226567436078,0.27872055023908615,0.458039790391922,44.504837,8,7,-4.3,5.0,,,0,-5.5,-1.4752265674360778,0.007376132837180389,190.0,0.3448275862068966,-0.06610703596781042,0.0,44.5,0.0048370361328125,2.41851806640625e-05
Massachusetts,Northern Illinois,-10.591517549379956,0.13922397792339325,0.4665429691473643,41.70139,8,7,-32.5,-17.7,,,0,-9.5,-1.0915175493799563,0.0054575877468997815,290.0,0.2564102564102564,-0.11718627848686314,0.0,43.5,-1.7986106872558594,0.008993053436279297
Central Michigan,Buffalo,3.6675031104821914,0.5561436315377554,0.5310197671254476,42.285275,11,11,-9.4,-4.7,,,0,2.5,1.1675031104821914,0.005837515552410957,-130.0,0.5652173913043478,-0.009073759766592415,0.0,44.5,-2.2147254943847656,0.01
Old Dominion,Troy,11.512111582032418,0.8676568468411764,0.5571401019891103,52.10352,12,12,1.9,-3.8,,,0,9.5,2.012111582032418,0.01,-400.0,0.8,0.06765684684117634,0.01,53.5,-1.3964805603027344,0.006982402801513672
Louisville,Clemson,0.8475818686245067,0.6102064847946167,0.4826536575953166,49.982334,6,6,12.2,8.8,,,0,1.5,-0.6524181313754933,0.0032620906568774665,-125.0,0.5555555555555556,0.05465092923906112,0.01,50.5,-0.5176658630371094,0.002588329315185547
Oregon,Minnesota,26.769836275774388,0.9489694237709045,0.5089700023333231,45.52297,6,13,26.6,3.5,,,0,26.5,0.26983627577438796,0.0013491813788719398,-3600.0,0.972972972972973,-0.024003549202068486,0.0,46.0,-0.4770317077636719,0.0023851585388183594
Pittsburgh,Notre Dame,-10.410827331677947,0.3913751145203908,0.5593125919500986,50.381836,13,6,12.8,22.5,,,0,-12.5,2.0891726683220533,0.01,370.0,0.2127659574468085,0.1786091570735823,0.01,55.0,-4.6181640625,0.01
Texas A&M,South Carolina,17.894522399440483,0.9848206440607706,0.5427129864692688,51.723206,6,13,22.6,3.6,,,0,16.5,1.3945223994404827,0.006972611997202414,-900.0,0.9,0.08482064406077061,0.01,49.5,2.22320556640625,0.01
