home_team,away_team,fair_spread_home,p_home_win,p_home_covers,fair_total,home_rest_days,away_rest_days,home_sp_plus,away_sp_plus,temp_C,wind_kph,precip_flag,market_spread_home,dk_spread_home,fd_spread_home,edge_spread_pts,kelly_spread,market_ml_home,market_ml_home_p,edge_ml_prob,kelly_ml,market_total,edge_total_pts,kelly_total
Bowling Green,Akron,-2.467797643743618,0.4247209429740906,0.6379866003990173,49.415985,10,6,-15.5,-14.2,,,0,,,,,0.0,,,,0.0,,,0.0
Ohio,Massachusetts,23.044620566911437,0.9819129705429077,0.7393713196118673,51.62929,6,6,-5.5,-32.5,,,0,,,,,0.0,,,,0.0,,,0.0
Northern Illinois,Western Michigan,-11.746644336898159,0.1638179011642933,0.2898135930299759,48.33669,6,6,-17.7,-6.0,,,0,,,,,0.0,,,,0.0,,,0.0
Buffalo,Miami (OH),-2.8357144634688365,0.41366317868232727,0.2734751303990682,44.27048,7,7,-4.7,-4.3,,,0,,,,,0.0,,,,0.0,,,0.0
Kent State,Central Michigan,-1.6615573825644128,0.44493720928827923,0.4613414406776428,48.792732,7,7,-21.9,-9.4,,,0,,,,,0.0,,,,0.0,,,0.0
Arkansas State,Louisiana,6.315199714323652,0.6864400506019592,0.5623180270195007,49.185745,12,12,-9.9,-9.7,,,0,,,,,0.0,,,,0.0,,,0.0
NC State,Florida State,-8.710531164885097,0.36827736099561054,0.3096500635147095,52.952923,6,6,3.7,11.5,,,0,6.5,6.5,6.5,-2.210531164885097,0.01,190.0,0.3448275862068966,0.023449774788713962,0.01,59.5,-6.547077178955078,0.01
UNLV,Hawai'i,0.6408797371062858,0.7105515797932943,0.4279990295569102,58.08721,6,12,1.6,-1.1,,,0,-2.5,-2.5,-2.5,-1.8591202628937142,0.009295601314468572,-142.0,0.5867768595041323,0.12377472028916203,0.01,64.5,-6.412788391113281,0.01
Houston,TCU,-0.2029254317234068,0.4937729040781657,0.5440183281898499,49.553604,14,6,6.4,9.2,,,0,-1.5,-1.5,-1.5,-1.7029254317234068,0.008514627158617035,-118.0,0.5412844036697247,-0.04751149959155904,0.0,55.5,-5.9463958740234375,0.01
Ohio State,Rutgers,23.896495179452895,0.9850875735282898,0.7804439862569174,51.236237,6,13,30.5,2.0,,,0,-32.5,-32.5,,-8.603504820547105,0.0,-10000.0,0.9900990099009901,-0.005011436372700295,0.0,55.5,-4.263763427734375,0.01
Maryland,Michigan,-6.79880604467094,0.28550414244333905,0.31230695048968,50.636803,6,6,3.5,15.7,,,0,14.0,14.0,13.5,7.20119395532906,0.0,440.0,0.18518518518518517,0.10031895725815387,0.01,46.5,4.136802673339844,0.01
UAB,South Florida,-24.322399843912994,0.013513512909412384,0.21073811997969946,58.806267,6,6,-12.9,11.3,,,0,21.5,21.5,21.5,-2.8223998439129936,0.01,1000.0,0.09090909090909091,-0.07739557799967853,0.0,68.5,-9.693733215332031,0.01
Colorado,Arizona State,-3.020249600816854,0.36579468846321106,0.5471167266368866,50.846455,13,6,-3.1,5.4,,,0,7.0,7.0,7.5,3.979750399183146,0.01,220.0,0.3125,0.05329468846321106,0.01,46.5,4.346454620361328,0.01
Arizona,Baylor,2.0880413118483694,0.5663320124149323,0.6280849774678549,55.0945,6,6,11.2,5.5,,,0,-6.5,-6.5,-6.5,-4.41195868815163,0.01,-238.0,0.7041420118343196,-0.13780999941938732,0.0,62.5,-7.405498504638672,0.01
Cincinnati,BYU,-2.506722445393895,0.2822907269001007,0.3220207343498866,49.906815,6,6,10.8,14.4,,,0,2.5,2.5,2.5,-0.0067224453938949935,3.361222696947497e-05,114.0,0.4672897196261682,-0.1849989927260675,0.0,55.5,-5.5931854248046875,0.01
Wisconsin,Illinois,-16.45527083751995,0.08514500161012013,0.30288664996623993,46.210934,6,6,-4.4,13.4,,,0,8.5,8.5,8.5,-7.955270837519951,0.0,260.0,0.2777777777777778,-0.19263277616765767,0.0,41.5,4.710933685302734,0.01
Iowa State,Kansas,4.651011262488145,0.6397423148155212,0.7415273785591125,50.457092,13,13,8.9,5.4,,,0,-3.5,-3.5,-3.5,1.1510112624881446,0.005755056312440723,-166.0,0.6240601503759399,0.01568216443958137,0.01,55.5,-5.04290771484375,0.01
Iowa,Michigan State,7.881313784971845,0.7443375686804453,0.7556840181350708,48.42872,6,6,17.2,-2.1,,,0,-16.5,-16.5,-16.5,-8.618686215028156,0.0,-900.0,0.9,-0.1556624313195547,0.0,42.5,5.928718566894531,0.01
Oregon,USC,8.609209796619034,0.8569982051849365,0.4715941349665324,56.31523,7,6,26.6,19.2,,,0,-10.0,-10.0,-9.5,-1.3907902033809663,0.006953951016904832,-395.0,0.797979797979798,0.05901840720513851,0.01,59.5,-3.1847686767578125,0.01
UCLA,Washington,-5.969507967605707,0.30943270524342853,0.5205493072668711,53.776615,6,6,-2.4,14.8,,,0,10.5,10.5,10.5,4.530492032394293,0.01,295.0,0.25316455696202533,0.056268148281403196,0.01,51.5,2.2766151428222656,0.01
UTSA,East Carolina,-10.772227202435165,0.19440479824940363,0.2982188860575358,53.08624,6,6,-0.7,7.6,,,0,2.5,2.5,2.5,-8.272227202435165,0.0,110.0,0.47619047619047616,-0.28178567794107257,0.0,62.5,-9.413761138916016,0.01
North Carolina,Duke,-9.391497099449275,0.12859426935513815,0.35719817380110425,50.335045,6,6,-4.8,6.8,,,0,6.5,6.5,6.5,-2.891497099449275,0.01,210.0,0.3225806451612903,-0.19398637580615216,0.0,51.5,-1.1649551391601562,0.0058247756958007815
Georgia Tech,Pittsburgh,2.775169078842647,0.5642590522766113,0.49310076236724854,52.732906,6,6,10.5,12.8,,,0,-2.5,-2.5,-2.5,0.2751690788426471,0.0013758453942132353,-135.0,0.574468085106383,-0.010209032829771703,0.0,61.5,-8.767093658447266,0.01
James Madison,Washington State,8.756292995976924,0.7672104835510254,0.5595749119917551,50.652027,6,6,9.9,-1.6,,,0,-13.5,-13.5,-13.5,-4.743707004023076,0.01,-575.0,0.8518518518518519,-0.08464136830082647,0.0,42.5,8.152027130126953,0.01
Temple,Tulane,-6.206310957885359,0.3097691237926483,0.25050589442253113,54.117012,13,6,-3.8,2.4,,,0,9.5,9.5,8.5,3.293689042114641,0.01,275.0,0.26666666666666666,0.04310245712598165,0.01,54.5,-0.38298797607421875,0.0019149398803710938
Florida,Tennessee,-0.555241271095638,0.42927687366803485,0.6288200716177622,54.44674,6,6,6.2,16.3,,,0,4.0,4.0,3.5,3.444758728904362,0.01,170.0,0.37037037037037035,0.0589065032976645,0.01,57.5,-3.0532608032226562,0.01
SMU,Louisville,1.4761995262237804,0.7119952837626139,0.49926961461702984,49.194244,13,7,10.9,12.2,,,0,-3.0,-3.0,-2.5,-1.5238004737762196,0.007619002368881098,-155.0,0.6078431372549019,0.10415214650771198,0.01,51.5,-2.305755615234375,0.01
